;Scopy version,f4beeb1
;Exported on,dimanche mars 03/03/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.77,0.234219
1,-0.769,0.234219
2,-0.768,0.234219
3,-0.767,0.234219
4,-0.766,0.234219
5,-0.765,0.234219
6,-0.764,0.234219
7,-0.763,0.229002
8,-0.762,0.222047
9,-0.761,0.209875
10,-0.76,0.20292
11,-0.759,0.199442
12,-0.758,0.201181
13,-0.757,0.197703
14,-0.756,0.192486
15,-0.755,0.199442
16,-0.754,0.197703
17,-0.753,0.199442
18,-0.752,0.199442
19,-0.751,0.199442
20,-0.75,0.199442
21,-0.749,0.199442
22,-0.748,0.199442
23,-0.747,0.201181
24,-0.746,0.197703
25,-0.745,0.194225
26,-0.744,0.197703
27,-0.743,0.197703
28,-0.742,0.201181
29,-0.741,0.199442
30,-0.74,0.199442
31,-0.739,0.199442
32,-0.738,0.199442
33,-0.737,0.199442
34,-0.736,0.199442
35,-0.735,0.194225
36,-0.734,0.199442
37,-0.733,0.197703
38,-0.732,0.197703
39,-0.731,0.201181
40,-0.73,0.199442
41,-0.729,0.199442
42,-0.728,0.199442
43,-0.727,0.199442
44,-0.726,0.199442
45,-0.725,0.199442
46,-0.724,0.194225
47,-0.723,0.199442
48,-0.722,0.197703
49,-0.721,0.197703
50,-0.72,0.201181
51,-0.719,0.199442
52,-0.718,0.199442
53,-0.717,0.199442
54,-0.716,0.199442
55,-0.715,0.201181
56,-0.714,0.197703
57,-0.713,0.194225
58,-0.712,0.197703
59,-0.711,0.197703
60,-0.71,0.201181
61,-0.709,0.199442
62,-0.708,0.199442
63,-0.707,0.199442
64,-0.706,0.199442
65,-0.705,0.199442
66,-0.704,0.199442
67,-0.703,0.194225
68,-0.702,0.199442
69,-0.701,0.197703
70,-0.7,0.197703
71,-0.699,0.201181
72,-0.698,0.199442
73,-0.697,0.199442
74,-0.696,0.199442
75,-0.695,0.199442
76,-0.694,0.201181
77,-0.693,0.197703
78,-0.692,0.192486
79,-0.691,0.199442
80,-0.69,0.197703
81,-0.689,0.197703
82,-0.688,0.199442
83,-0.687,0.199442
84,-0.686,0.199442
85,-0.685,0.199442
86,-0.684,0.199442
87,-0.683,0.201181
88,-0.682,0.197703
89,-0.681,0.194225
90,-0.68,0.197703
91,-0.679,0.197703
92,-0.678,0.197703
93,-0.677,0.197703
94,-0.676,0.199442
95,-0.675,0.199442
96,-0.674,0.199442
97,-0.673,0.199442
98,-0.672,0.199442
99,-0.671,0.194225
100,-0.67,0.199442
101,-0.669,0.197703
102,-0.668,0.197703
103,-0.667,0.201181
104,-0.666,0.199442
105,-0.665,0.199442
106,-0.664,0.199442
107,-0.663,0.199442
108,-0.662,0.201181
109,-0.661,0.197703
110,-0.66,0.192486
111,-0.659,0.199442
112,-0.658,0.197703
113,-0.657,0.197703
114,-0.656,0.201181
115,-0.655,0.199442
116,-0.654,0.199442
117,-0.653,0.199442
118,-0.652,0.199442
119,-0.651,0.201181
120,-0.65,0.197703
121,-0.649,0.194225
122,-0.648,0.197703
123,-0.647,0.199442
124,-0.646,0.199442
