;Scopy version,f4beeb1
;Exported on,dimanche mars 03/03/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.77,0.136234
1,-0.769,0.136234
2,-0.768,0.136234
3,-0.767,0.136234
4,-0.766,0.136234
5,-0.765,0.136234
6,-0.764,0.153623
7,-0.763,0.174489
8,-0.762,0.1884
9,-0.761,0.20405
10,-0.76,0.211005
11,-0.759,0.223177
12,-0.758,0.223177
13,-0.757,0.221438
14,-0.756,0.219699
15,-0.755,0.216221
16,-0.754,0.212744
17,-0.753,0.216221
18,-0.752,0.211005
19,-0.751,0.207527
20,-0.75,0.200572
21,-0.749,0.176228
22,-0.748,0.160578
23,-0.747,0.153623
24,-0.746,0.146667
25,-0.745,0.141451
26,-0.744,0.141451
27,-0.743,0.139712
28,-0.742,0.137973
29,-0.741,0.137973
30,-0.74,0.137973
31,-0.739,0.137973
32,-0.738,0.137973
33,-0.737,0.136234
34,-0.736,0.136234
35,-0.735,0.136234
36,-0.734,0.136234
37,-0.733,0.136234
38,-0.732,0.136234
39,-0.731,0.136234
40,-0.73,0.136234
41,-0.729,0.136234
42,-0.728,0.136234
43,-0.727,0.136234
44,-0.726,0.136234
45,-0.725,0.136234
46,-0.724,0.136234
47,-0.723,0.136234
48,-0.722,0.136234
49,-0.721,0.136234
50,-0.72,0.136234
51,-0.719,0.136234
52,-0.718,0.136234
53,-0.717,0.136234
54,-0.716,0.136234
55,-0.715,0.136234
56,-0.714,0.136234
57,-0.713,0.136234
58,-0.712,0.136234
59,-0.711,0.136234
60,-0.71,0.136234
61,-0.709,0.136234
62,-0.708,0.136234
63,-0.707,0.136234
64,-0.706,0.136234
65,-0.705,0.136234
66,-0.704,0.136234
67,-0.703,0.136234
68,-0.702,0.141451
69,-0.701,0.165795
70,-0.7,0.181444
71,-0.699,0.197094
72,-0.698,0.207527
73,-0.697,0.216221
74,-0.696,0.223177
75,-0.695,0.223177
76,-0.694,0.219699
77,-0.693,0.216221
78,-0.692,0.212744
79,-0.691,0.212744
80,-0.69,0.212744
81,-0.689,0.209266
82,-0.688,0.20405
83,-0.687,0.181444
84,-0.686,0.165795
85,-0.685,0.155362
86,-0.684,0.148406
87,-0.683,0.146667
88,-0.682,0.141451
89,-0.681,0.137973
90,-0.68,0.137973
91,-0.679,0.137973
92,-0.678,0.137973
93,-0.677,0.137973
94,-0.676,0.137973
95,-0.675,0.137973
96,-0.674,0.137973
97,-0.673,0.137973
98,-0.672,0.137973
99,-0.671,0.137973
100,-0.67,0.137973
101,-0.669,0.137973
102,-0.668,0.137973
103,-0.667,0.136234
104,-0.666,0.136234
105,-0.665,0.136234
106,-0.664,0.136234
107,-0.663,0.136234
108,-0.662,0.136234
109,-0.661,0.136234
110,-0.66,0.136234
111,-0.659,0.136234
112,-0.658,0.136234
113,-0.657,0.136234
114,-0.656,0.136234
115,-0.655,0.136234
116,-0.654,0.136234
117,-0.653,0.136234
118,-0.652,0.136234
119,-0.651,0.136234
120,-0.65,0.136234
121,-0.649,0.136234
122,-0.648,0.136234
123,-0.647,0.136234
124,-0.646,0.136234
125,-0.645,0.136234
126,-0.644,0.136234
127,-0.643,0.136234
128,-0.642,0.136234
129,-0.641,0.136234
130,-0.64,0.136234
131,-0.639,0.153623
132,-0.638,0.174489
133,-0.637,0.1884
134,-0.636,0.20405
135,-0.635,0.211005
136,-0.634,0.223177
137,-0.633,0.223177
138,-0.632,0.219699
139,-0.631,0.219699
140,-0.63,0.212744
141,-0.629,0.212744
142,-0.628,0.212744
143,-0.627,0.209266
144,-0.626,0.209266
145,-0.625,0.197094
146,-0.624,0.174489
147,-0.623,0.158839
148,-0.622,0.151884
149,-0.621,0.148406
150,-0.62,0.141451
151,-0.619,0.141451
152,-0.618,0.139712
153,-0.617,0.137973
154,-0.616,0.137973
155,-0.615,0.137973
156,-0.614,0.137973
157,-0.613,0.137973
158,-0.612,0.137973
159,-0.611,0.137973
160,-0.61,0.137973
161,-0.609,0.137973
162,-0.608,0.137973
163,-0.607,0.137973
164,-0.606,0.137973
165,-0.605,0.136234
166,-0.604,0.136234
167,-0.603,0.136234
168,-0.602,0.136234
169,-0.601,0.136234
170,-0.6,0.136234
171,-0.599,0.136234
172,-0.598,0.136234
173,-0.597,0.136234
174,-0.596,0.136234
175,-0.595,0.136234
176,-0.594,0.136234
177,-0.593,0.136234
178,-0.592,0.136234
179,-0.591,0.136234
180,-0.59,0.136234
181,-0.589,0.136234
182,-0.588,0.136234
183,-0.587,0.136234
184,-0.586,0.136234
185,-0.585,0.136234
186,-0.584,0.136234
187,-0.583,0.136234
188,-0.582,0.136234
189,-0.581,0.136234
190,-0.58,0.136234
191,-0.579,0.136234
192,-0.578,0.136234
193,-0.577,0.141451
194,-0.576,0.169273
195,-0.575,0.181444
196,-0.574,0.197094
197,-0.573,0.207527
198,-0.572,0.216221
199,-0.571,0.223177
200,-0.57,0.223177
201,-0.569,0.221438
202,-0.568,0.216221
203,-0.567,0.216221
204,-0.566,0.212744
205,-0.565,0.212744
206,-0.564,0.209266
207,-0.563,0.207527
208,-0.562,0.186661
209,-0.561,0.17275
210,-0.56,0.155362
211,-0.559,0.150145
212,-0.558,0.14319
213,-0.557,0.14319
214,-0.556,0.139712
215,-0.555,0.139712
216,-0.554,0.137973
217,-0.553,0.137973
218,-0.552,0.137973
219,-0.551,0.137973
220,-0.55,0.137973
221,-0.549,0.137973
222,-0.548,0.137973
223,-0.547,0.137973
224,-0.546,0.137973
225,-0.545,0.137973
226,-0.544,0.137973
227,-0.543,0.136234
228,-0.542,0.136234
229,-0.541,0.136234
230,-0.54,0.136234
231,-0.539,0.136234
232,-0.538,0.136234
233,-0.537,0.136234
234,-0.536,0.136234
235,-0.535,0.137973
236,-0.534,0.137973
237,-0.533,0.137973
238,-0.532,0.136234
239,-0.531,0.137973
240,-0.53,0.136234
241,-0.529,0.136234
242,-0.528,0.137973
243,-0.527,0.136234
244,-0.526,0.137973
245,-0.525,0.137973
246,-0.524,0.136234
247,-0.523,0.136234
248,-0.522,0.137973
249,-0.521,0.136234
250,-0.52,0.136234
251,-0.519,0.137973
252,-0.518,0.137973
253,-0.517,0.136234
254,-0.516,0.136234
255,-0.515,0.137973
